Date,Name,Icon,Meal,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
03/13/2024,"Beef, Ground, 96% Lean",Beef,Dinner,0.25,Pound,130,0,4,21,0,2,0,0,60,65
03/13/2024,Brioche Bun,HamburgBun,Dinner,50.0,Grams,160,0,4,5,27,2,5,2,20,270
03/13/2024,Sweet Maui Onion Potato Chips,PotatoChip,Dinner,0.5,Serving,110,0,6,1.50,12.50,0.50,1.50,1,0,120
03/13/2024,Cheddar Cheese,Cheese,Dinner,0.75,Ounce,83,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/13/2024,"Oil, Canola",Oil,Dinner,0.75,Tablespoon,90,0,10.50,0,0,0.75,0,0,0,0
03/13/2024,Brocolli,Broccoli,Dinner,210.0,Grams,40,0,0.86,4.99,15.8,n/a,n/a,6.93,n/a,n/a
03/13/2024,Calories,Calories,Evening Snacks,23.0,Each,230,0,0,0,0,0,0,0,0,0
03/13/2024,Blueberries,Blueberry,Evening Snacks,85.0,Grams,48,0,0.29,0.63,12.6,0,8.61,2.7,0,0.57
03/13/2024,Calories,Calories,Evening Snacks,10.0,Each,100,0,0,0,0,0,0,0,0,0
03/14/2024,Calories,Calories,Breakfast,40.0,Each,400,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/14/2024,Calories,Calories,Lunch,70.0,Each,700,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/14/2024,Calories,Calories,Afternoon Snacks,12.0,Each,120,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/14/2024,Calories,Calories,Dinner,65.0,Each,650,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/14/2024,Calories,Calories,Evening Snacks,50.0,Each,500,0,0,0,0,0,0,0,0,0
03/15/2024,"Bread, Sourdough Sliced",WhiteBread,Breakfast,64.0,Grams,160,0,0,6,32,0,0,2,0,320
03/15/2024,Nutella,FrostingChocolate,Breakfast,8.0,Grams,43,0,2.38,0.65,4.76,0.76,4.54,0.22,0,3.24
03/15/2024,"Peanut Butter, Creamy",PeanutButter,Breakfast,8.0,Grams,48,0,4,2,1.75,0.63,0.50,0.75,0,30
03/15/2024,Calories,Calories,Lunch,50.0,Each,500,0,0,0,0,0,0,0,0,0
03/15/2024,Joes Os Peanut Butter Cereal Bar,Bar,Afternoon Snacks,1.0,Serving,120,0,6,3,14,2,7,3,n/a,70
03/15/2024,"Chicken Karaage, Chicken + Sauce",Chicken,Dinner,270.0,Grams,680,0,40,30,50,6,6,0,150,1460
03/15/2024,Calories,Calories,Evening Snacks,45.0,Each,450,0,0,0,0,0,0,0,0,0
03/16/2024,"Bread, Sourdough Sliced",WhiteBread,Breakfast,32.0,Grams,80,0,0,3,16,0,0,1,0,160
03/16/2024,Egg,Egg,Breakfast,1.0,Serving,70,0,5,6,0,n/a,n/a,n/a,n/a,n/a
03/16/2024,"Bacon, Uncured, Applewood, Smoked",Bacon,Breakfast,1.0,Slice,80,0,7,3,0,2.50,0,0,20,190
03/16/2024,Irish Butter,Butter,Breakfast,5.0,Grams,36,0,3.93,0,0,2.50,0,0,10.71,35.71
03/16/2024,Calories,Calories,Lunch,40.0,Each,400,0,0,0,0,0,0,0,0,0
03/16/2024,"Bread, Sourdough Sliced",WhiteBread,Afternoon Snacks,32.0,Grams,80,0,0,3,16,0,0,1,0,160
03/16/2024,"Peanut Butter, Creamy",PeanutButter,Afternoon Snacks,10.0,Grams,59,0,5,2.50,2.19,0.78,0.63,0.94,0,37.50
03/16/2024,"Jelly, Concord Grape",Jam,Afternoon Snacks,0.5,Tablespoon,25,0,0,0,6.50,0,6,0,0,0
03/16/2024,Calories,Calories,Dinner,100.0,Each,"1,000",0,0,0,0,0,0,0,0,0
03/16/2024,Calories,Calories,Dinner,20.0,Each,200,0,0,0,0,0,0,0,0,0
03/16/2024,Calories,Calories,Dinner,40.0,Each,400,0,0,0,0,0,0,0,0,0
03/17/2024,"Pancakes, Homemade, 6""",Pancakes,Breakfast,5.0,Each,874,0,37.34,24.64,108.95,8.16,0,0,227.15,1690.15
03/17/2024,Snack,Snack,Lunch,0.5,Serving,165,0,12,8,6.50,5,0.50,0.50,30,450
03/17/2024,"Wine, White, Chardonnay",WineWhite,Lunch,1.0,Serving,123,0,0,0.10,3.18,0,1.41,0,n/a,2.20
03/17/2024,White cheddar rice cakes,RiceCake,Lunch,1.0,Each,45,0,1,1,8,0,0.50,0,0,100
03/17/2024,Calories,Calories,Afternoon Snacks,22.5,Each,225,0,0,0,0,0,0,0,0,0
03/17/2024,BBQ Terriyaki Chicken,Chicken,Dinner,2.0,Dry Cups,480,0,18,62,22,4,20,2,270,1420
03/17/2024,Jasmine rice,Rice,Dinner,1.0,Serving,160,0,0,3,35,0,0,0,0,0
03/17/2024,Calories,Calories,Evening Snacks,40.0,Each,400,0,0,0,0,0,0,0,0,0
03/18/2024,Calories,Calories,Breakfast,42.5,Each,425,0,0,0,0,0,0,0,0,0
03/18/2024,Calories,Calories,Lunch,60.0,Each,600,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/18/2024,"Mini Bar, Dark Chocolate Mint",ChocolateDark,Afternoon Snacks,24.0,Grams,100,0,6,5,10,1.50,3,3,n/a,45
03/18/2024,White cheddar rice cakes,RiceCake,Afternoon Snacks,1.0,Each,45,0,1,1,8,0,0.50,0,0,100
03/18/2024,"Pork Loin Boneless, Center Cut Chops",PorkChop,Dinner,0.59,Pound,330,0,14.16,49.56,2.36,4.72,0,0,177,330.40
03/18/2024,"Potatoes, Yellow Baby Dutch",Potato,Dinner,175.0,Grams,127,0,0,3.18,31.82,0,0.80,3.18,0,55.68
03/18/2024,"Bread, Crumbs Japanese Style Panko",Crouton,Dinner,0.25,Cup,60,0,0,2,14,0,0.50,0.50,0,75
03/18/2024,"Green Beans, Raw",SnapBean,Dinner,8.0,Ounces,70,0,0.50,4.15,15.81,0.11,7.39,6.12,0,13.61
03/18/2024,"Oil, Canola",Oil,Dinner,0.5,Tablespoon,60,0,7,0,0,0.50,0,0,0,0
03/18/2024,Burbon,Alcohol,Evening Snacks,2.5,Fluid ounces,173,0,0,0,27.50,0,0,0,0,0
03/18/2024,"Rice Cake, Caramel Corn",RiceCake,Evening Snacks,1.0,Each,50,0,0,1,11,0,3,0,0,30
03/18/2024,Popsicle,Popsicle,Evening Snacks,1.0,Each,40,0,0,0,10,n/a,8,n/a,n/a,0
03/18/2024,Calories,Calories,Evening Snacks,15.0,Each,150,0,0,0,0,0,0,0,0,0
03/19/2024,Calories,Calories,Breakfast,30.0,Each,300,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/19/2024,Calories,Calories,Lunch,45.0,Each,450,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/19/2024,Calories,Calories,Afternoon Snacks,15.0,Each,150,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/19/2024,Beef Stick,Beef,Afternoon Snacks,1.0,Serving,40,0,3,4,0,1,0,0,12,165
03/19/2024,Apple,Apple,Afternoon Snacks,148.0,Grams,70,0,n/a,0.11,n/a,n/a,n/a,n/a,n/a,n/a
03/19/2024,Chicken Potstickers,Chicken,Dinner,11.0,Each,358,0,5.50,19.25,52.25,0,2.75,2.75,55,990
03/19/2024,"Oil, Grapeseed",Oil,Dinner,1.0,Tablespoon,120,0,140,0,0,1.50,0,0,0,0
03/19/2024,Calories,Calories,Evening Snacks,25.0,Each,250,0,0,0,0,0,0,0,0,0
03/19/2024,Calories,Calories,Evening Snacks,20.0,Each,200,0,0,0,0,0,0,0,0,0
03/20/2024,"Bread, Sourdough Sliced",WhiteBread,Breakfast,64.0,Grams,160,0,0,6,32,0,0,2,0,320
03/20/2024,Nutella,Hazelnut,Breakfast,10.0,Grams,54,0,2.97,0.54,5.95,1.8,5.68,0.27,0,4.5
03/20/2024,"Peanut Butter, Creamy",PeanutButter,Breakfast,10.0,Grams,59,0,5,2.50,2.19,0.78,0.63,0.94,0,37.50
03/20/2024,White cheddar rice cakes,RiceCake,Morning Snacks,1.0,Each,45,0,1,1,8,0,0.50,0,0,100
03/20/2024,Vietnamese chicken sandwich,SubSandwich,Lunch,1.0,Serving,557,0,20,22,43,1,8,3,45,970
03/20/2024,Calories,Calories,Afternoon Snacks,17.5,Each,175,0,0,0,0,0,0,0,0,0
03/20/2024,Nutrition bar peanut butter chocolate chip,Default,Afternoon Snacks,1.0,Package,100,0,5,5,10,1,3,2,0,50
03/20/2024,Atlantic Salmon Fillets,Fish,Dinner,124.0,Grams,263,0,16.46,25.24,0,3.84,0,0,65.84,71.33
03/20/2024,"Tricolor Quinoa, Dry",Grain,Dinner,42.0,Grams,150,0,2.50,6,27,0,1,3,0,0
03/20/2024,"Avocado, California",Avocado,Dinner,0.2,Each,45,0,4.19,0.53,2.35,0.58,0.8,1.85,0,2.18
03/20/2024,Calories,Calories,Evening Snacks,30.0,Each,300,0,0,0,0,0,0,0,0,0
03/21/2024,Calories,Calories,Breakfast,32.5,Each,325,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/21/2024,Calories,Calories,Lunch,60.0,Each,600,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
03/21/2024,"Mini Bar, Dark Chocolate Mint",ChocolateDark,Afternoon Snacks,24.0,Grams,100,0,6,5,10,1.50,3,3,n/a,45
03/21/2024,Turkey Meatballs,Meatballs,Dinner,4.0,Each,200,0,10,24,10,4,2,4,60,800
03/21/2024,"Garlic Naan, Frozen",Tortilla,Dinner,0.5,Piece,125,0,1.75,3.50,23.50,0.75,1.50,1.50,0,155
03/21/2024,"Tomato Basil Marinara, Organic",Sauce,Dinner,0.5,Cup,60,0,1,2,10,0,5,2,0,420
03/21/2024,"Pasta, Capellini, Angel Hair, Dry",Pasta,Dinner,56.0,Grams,200,0,0.50,7,40,0,2,2,0,0
03/21/2024,Irish Butter,Butter,Dinner,5.0,Grams,36,0,3.93,0,0,2.50,0,0,10.71,35.71
03/21/2024,Calories,Calories,Lunch,30.0,Each,300,1,0,0,0,0,0,0,0,0
03/21/2024,Calories,Calories,Evening Snacks,30.0,Each,300,0,0,0,0,0,0,0,0,0
03/21/2024,Popsicle,Popsicle,Evening Snacks,2.0,Each,80,0,0,0,20,n/a,16,n/a,n/a,0
03/21/2024,Tony’s Chocolonely,Chocolate,Evening Snacks,10.0,Grams,55,0,3.29,0.71,5.41,1.88,5.41,0.24,2.35,27.76
01/02/2025,"Pancakes, Buttermilk",Pancakes,Breakfast,145.0,Grams,301,0,4.30,8.59,55.85,0.54,11.81,3.22,10.74,762.59
01/02/2025,"Syrup, Maple, Organic",Syrup,Breakfast,1.25,Tablespoons,68,0,0,0,16.59,0,14.75,0,0,3.7
01/02/2025,Egg,Egg,Lunch,3.0,Servings,210,0,15,18,0,n/a,n/a,n/a,n/a,n/a
01/02/2025,"Bacon, Uncured, Applewood, Smoked",Bacon,Lunch,2.0,Slices,160,0,14,6,0,5,0,0,40,380
01/02/2025,Frozen Bell Peppers,Peppers,Lunch,1.25,Servings,25,0,0,n/a,5,0,2.50,1.25,0,0
01/02/2025,Organic High-Oleic Sunflower Oil,Oil,Lunch,0.5,Tablespoon,60,0,7,n/a,n/a,0.75,n/a,n/a,n/a,n/a
01/02/2025,",*Cheese & Peanut Butter Sandwich Crackers",Cracker,Afternoon Snacks,1.0,Package,190,0,9,4,24,1.50,4,1,0,330
01/02/2025,Spaghetti & Meatballs,Recipe,Dinner,1.0,Serving,490,0,13.45,32.67,65.5,4,14.91,9.91,60,1340
01/02/2025,+ White Cheddar Rice Cakes,RiceCake,Evening Snacks,22.0,Grams,90,0,2,2,16,0,n/a,0,0,210
01/02/2025,"Italian Ice, Lemon / Strawberry",IceCream,Evening Snacks,1.0,Container,100,0,0,0,26,0,20,0,0,5
01/02/2025,Goldfish Flavor Blasted Xtra Cheddar,Cracker,Evening Snacks,51.0,Pieces,140,0,5,4,19,1,0,0.80,4.80,260
01/02/2025,Chocolate Rice Cakes,RiceCake,Evening Snacks,15.0,Grams,60,0,1,1,12,0,4,0,0,40
01/03/2025,Maple Chicken Breakfast Sausage,Sausage,Breakfast,6.0,Each,270,0,12,30,9,3,9,0,150,1290
01/03/2025,Organic High-Oleic Sunflower Oil,Oil,Breakfast,0.5,Teaspoon,20,0,2.33,n/a,n/a,0.25,n/a,n/a,n/a,n/a
01/03/2025,Giuseppe Bread,WhiteBread,Breakfast,37.0,Grams,93,0,0.36,2.85,19.21,0,0,0.71,0,106.73
01/03/2025,Irish Butter,Butter,Breakfast,4.0,Grams,29,0,3.14,0,0,2,0,0,8.57,28.57
01/03/2025,Hot Dog,Hotdog,Lunch,1.0,Serving,210,0,14,14,5,8,1,0,60,820
01/03/2025,Egg,Egg,Lunch,3.0,Servings,210,0,15,18,0,n/a,n/a,n/a,n/a,n/a
01/03/2025,",*Cheese & Peanut Butter Sandwich Crackers",Cracker,Afternoon Snacks,1.0,Package,190,0,9,4,24,1.50,4,1,0,330
01/03/2025,Mustard-Glazed Drumstick,Recipe,Dinner,2.0,Servings,488,0,15,64.53,21.46,4.50,0.23,0.27,330,1567.94
01/03/2025,Jasmine rice,Rice,Dinner,0.25,Cup,53,0,0,1,11.67,0,0,0,0,0
01/03/2025,Pear Gorgonzola Salad,Salad,Dinner,0.5,Package,125,0,6.50,3,15,0.75,11.50,2,0,255
01/03/2025,"Popping Corn, Yellow Kernels",Popcorn,Evening Snacks,37.0,Grams,136,0,1.85,3.70,27.13,0,0,4.93,0,0
01/03/2025,"Coconut Oil, Virgin, Organic",Oil,Evening Snacks,0.5,Tablespoon,64,0,6.90,0,0,6.41,0,0,0,0
01/03/2025,"Italian Ice, Lemon / Strawberry",IceCream,Evening Snacks,1.0,Container,100,0,0,0,26,0,20,0,0,5
01/04/2025,Giuseppe Bread,WhiteBread,Breakfast,70.0,Grams,175,0,0.67,5.38,36.35,0,0,1.35,0,201.92
01/04/2025,"Peanut Butter Spread, Creamy No Stir",PeanutButter,Breakfast,1.0,Tablespoon,95,0,7.50,3.50,4,4,19.50,1,0,65
01/04/2025,"Pancakes, Buttermilk",Pancakes,Morning Snacks,145.0,Grams,301,0,4.30,8.59,55.85,0.54,11.81,3.22,10.74,762.59
01/04/2025,"Syrup, Maple, Organic",Syrup,Morning Snacks,1.0,Tablespoon,54,0,0,0,13.28,0,11.80,0,0,2.46
01/04/2025,Apple,Apple,Lunch,270.0,Grams,129,0,n/a,0.20,n/a,n/a,n/a,n/a,n/a,n/a
01/04/2025,",*Cheese & Peanut Butter Sandwich Crackers",Cracker,Afternoon Snacks,1.0,Package,190,0,9,4,24,1.50,4,1,0,330
01/04/2025,Pepperoni,DeliMeat,Dinner,24.0,Grams,120,0,11.14,4.29,0,4.29,0,0,30,428.57
01/04/2025,"Crackers,Mini Artisan Original",Cracker,Dinner,6.0,Pieces,105,0,0.75,3,19.50,0,0,0,0,142.50
01/04/2025,Sliced Smoked Gouda,Cheese,Dinner,0.75,Ounce,66,1,5.30,4,1,3.60,0,0,13.90,253
01/04/2025,Queso manchego noche buena,Cheese,Dinner,28.0,Grams,102,0,8.40,6.46,0.8,5.29,0.8,0,0,104.46
01/04/2025,Campo de Montalban,Cheese,Dinner,1.0,Ounce,108,0,9,7,0,7,0,0,30,160
01/04/2025,"Wine, Red, Merlot",WineRed,Dinner,1.0,Serving,122,0,0,0.10,3.69,0,0.90,0,n/a,n/a
01/04/2025,"Wine, Red, Merlot",WineRed,Evening Snacks,0.5,Serving,61,0,0,0.5,1.85,0,0.45,0,n/a,n/a
01/04/2025,Milk Tea Kit Kats,Tea,Evening Snacks,1.0,Serving,63,0,3.60,0.43,7.40,2.30,6,0,n/a,10
01/04/2025,+ White Cheddar Rice Cakes,RiceCake,Evening Snacks,2.0,Pieces,90,0,2,2,16,0,n/a,0,0,210
01/04/2025,"Italian Ice, Lemon / Strawberry",IceCream,Evening Snacks,1.0,Container,100,0,0,0,26,0,20,0,0,5
01/05/2025,"Pancakes, Buttermilk",Pancakes,Breakfast,140.0,Grams,290,0,4.15,8.30,53.93,0.52,11.41,3.11,10.37,736.30
01/05/2025,"Syrup, Maple, Organic",Syrup,Breakfast,1.0,Tablespoon,54,0,0,0,13.28,0,11.80,0,0,2.46
01/05/2025,+ White Cheddar Rice Cakes,RiceCake,Morning Snacks,1.0,Piece,45,0,1,1,8,0,n/a,0,0,105
01/05/2025,"Banana, Medium, 7"" - 7 7/8"" Long",Banana,Lunch,1.0,Each,105,0,0.39,1.29,26.95,0.13,14.43,3.7,0,1.18
01/05/2025,",*Cheese & Peanut Butter Sandwich Crackers",Cracker,Lunch,1.0,Package,190,0,9,4,24,1.50,4,1,0,330
01/05/2025,This Apple Walks Into A Bar,CerealBar,Lunch,1.0,Each,130,0,2.50,2,27,0,16,0,0,75
01/05/2025,Pretzel Breadsticks,Pretzel,Lunch,1.0,Serving,100,0,2.50,3,16,n/a,n/a,46,n/a,260
01/05/2025,King Salmon Fillet Wild Caught,Fish,Dinner,0.34,Pound,219,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
01/05/2025,Thai ‘n Cashews Salad,Salad,Dinner,1.75,Cups,228,0,12.25,5.25,26.25,4.38,12.25,3.50,0,472.50
01/05/2025,"Wine, Red, Merlot",WineRed,Dinner,1.0,Serving,122,0,0,0.10,3.69,0,0.90,0,n/a,n/a
01/05/2025,Apple,Apple,Afternoon Snacks,290.0,Grams,138,0,n/a,0.21,n/a,n/a,n/a,n/a,n/a,n/a
01/05/2025,Jasmine rice,Rice,Dinner,0.5,Cup,107,0,0,2,23.33,0,0,0,0,0
01/05/2025,Kit kat,Chocolate,Dinner,1.0,Serving,65,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
01/05/2025,"Mango, Whole",Mango,Evening Snacks,0.5,Each,67,0,0.28,0.53,17.59,0.6,15.32,1.86,0,2.7
01/05/2025,Honey Wheat Pretzel Sticks,Pretzel,Evening Snacks,5.0,Pieces,55,0,0.50,1,11.50,0,2,0.50,0,150
01/06/2025,"Honey, Amber",Honey,Breakfast,1.0,Tablespoon,64,0,0,0.6,17.30,0,17.25,0.4,0,0.84
01/06/2025,Sourdough Bread,Toast,Breakfast,36.0,Grams,89,0,0,3.17,19.5,0,0,0.63,0,177.78
01/06/2025,Bon’s Steel Cut Oats,Oatmeal,Breakfast,1.5,Servings,255,0,3.75,7.50,46.50,0.75,1.50,7.50,0,0
01/06/2025,Calories,Calories,Lunch,27.5,Each,275,0,0,0,0,0,0,0,0,0
01/06/2025,"Tortilla, Corn",Tortilla,Lunch,3.0,Each,157,0,2.5,4.10,32.14,0.32,0.63,4.54,0,32.40
01/06/2025,Calories,Calories,Lunch,3.5,Each,35,0,0,0,0,0,0,0,0,0
01/06/2025,Calories,Calories,Afternoon Snacks,10.0,Each,100,0,0,0,0,0,0,0,0,0
01/06/2025,Apple,Apple,Afternoon Snacks,220.0,Grams,105,0,n/a,0.16,n/a,n/a,n/a,n/a,n/a,n/a
01/06/2025,Boneless Skinless Chicken Breadt,Chicken,Dinner,260.0,Grams,252,1,5.50,47.38,0,1.53,0,0,n/a,113.11
01/06/2025,"Chicken, Breast, Meat Only, Raw",Chicken,Dinner,130.0,Grams,156,0,3.36,29.21,0,0.61,0,0,94.82,58.12
01/06/2025,Prosciutto,DeliMeat,Dinner,1.5,Slices,60,0,4.50,5.25,0,2.63,0,0,18.75,480
01/06/2025,"Lentils, Green, Petite French, Dried",Peas,Dinner,0.25,Cup,160,0,0,12,29,0,2,7,0,15
01/06/2025,Irish Butter,Butter,Dinner,0.5,Tablespoon,50,0,5.50,0,0,3.50,0,0,15,50
01/06/2025,Organic High-Oleic Sunflower Oil,Oil,Dinner,1.0,Teaspoon,40,0,4.67,n/a,n/a,0.50,n/a,n/a,n/a,n/a
01/06/2025,Goldfish Flavor Blasted Xtra Cheddar,Cracker,Evening Snacks,21.0,Grams,98,0,3.50,2.80,13.30,0.70,0,0.56,3.36,182
01/06/2025,Chocolate Rice Cakes,RiceCake,Evening Snacks,15.0,Grams,60,0,1,1,12,0,4,0,0,40
01/06/2025,Kit kat,Chocolate,Evening Snacks,3.0,Servings,195,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
01/06/2025,Calories,Calories,Evening Snacks,5.1,Each,51,0,0,0,0,0,0,0,0,0
01/07/2025,Sourdough Bread,Toast,Breakfast,80.0,Grams,198,0,0,7.5,42.33,0,0,1.41,0,395.7
01/07/2025,Fresh Ground Peanut Butter,PeanutButter,Breakfast,1.25,Tablespoons,92,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
01/07/2025,Prosciutto,DeliMeat,Lunch,1.5,Slices,60,0,4.50,5.25,0,2.63,0,0,18.75,480
01/07/2025,"Chicken, Breast, Meat Only, Raw",Chicken,Lunch,130.0,Grams,156,0,3.36,29.21,0,0.61,0,0,94.82,58.12
01/07/2025,Organic High-Oleic Sunflower Oil,Oil,Lunch,1.0,Teaspoon,40,0,4.67,n/a,n/a,0.50,n/a,n/a,n/a,n/a
01/07/2025,"Lentils, Green, Petite French, Dried",Peas,Lunch,0.25,Cup,160,0,0,12,29,0,2,7,0,15
01/07/2025,Irish Butter,Butter,Lunch,0.5,Tablespoon,50,0,5.50,0,0,3.50,0,0,15,50
01/07/2025,+ White Cheddar Rice Cakes,RiceCake,Afternoon Snacks,1.0,Piece,45,0,1,1,8,0,n/a,0,0,105
01/07/2025,"Snack, Beef, Stick",Beef,Afternoon Snacks,14.0,Grams,40,0,3,4,n/a,1,n/a,n/a,12,165
01/07/2025,Lifesavers,Candy,Afternoon Snacks,1.0,Serving,11,0,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a
01/07/2025,Apple,Apple,Afternoon Snacks,309.0,Grams,147,0,n/a,0.23,n/a,n/a,n/a,n/a,n/a,n/a
01/07/2025,Calories,Calories,Dinner,22.5,Each,225,1,0,0,0,0,0,0,0,0
01/07/2025,"Salad, Caesar, Kit",Salad,Dinner,1.325,Servings,225,0,18.55,3.98,7.95,3.98,1.32,2.65,46.38,424
01/07/2025,Pepperoni Pizza,Recipe,Dinner,1.0,Serving,200,1,6.17,7.80,29.22,1.81,0.50,1.39,8.72,201.4
01/07/2025,Pepperoni Pizza,Recipe,Dinner,3.0,Servings,589,0,15.86,24.16,87.73,4.98,1.50,4.17,21.49,536.17
01/07/2025,Tates White Chocolate Raspberry,Bar,Evening Snacks,26.0,Grams,130,0,7,2,17,4,11,0,20,120
01/07/2025,"Popsicles, Sugar Free",Popsicle,Evening Snacks,1.0,Serving,15,0,0,0,6,0,21,0,0,3
01/08/2025,Flaky Biscuits (Organic),Biscuit,Breakfast,2.0,Each,340,0,12,6,54,5,10,2,0,1140
01/08/2025,Sour Cherry Spread,Jam,Breakfast,12.0,Grams,36,0,0,0,9,0,7.80,0,0,6
01/08/2025,Pepperoni Pizza,Recipe,Lunch,2.0,Servings,393,0,10.57,16.11,58.48,3.32,1,2.78,14.33,357.45
01/08/2025,This Apple Walks Into A Bar,CerealBar,Afternoon Snacks,1.0,Each,130,0,2.50,2,27,0,16,0,0,75
01/08/2025,Calories,Calories,Dinner,56.5,Each,565,0,0,0,0,0,0,0,0,0
01/08/2025,Cabbage Salad - Sunflower Crisp,Salad,Dinner,1.5,Servings,300,0,18,10.50,24,2.25,15,6,15,390
01/08/2025,"Snack, Beef, Stick",Beef,Afternoon Snacks,14.0,Grams,40,0,3,4,n/a,1,n/a,n/a,12,165
01/08/2025,"Banana, Medium, 7"" - 7 7/8"" Long",Banana,Evening Snacks,1.0,Each,105,0,0.39,1.29,26.95,0.13,14.43,3.7,0,1.18
01/08/2025,"Italian Ice, Mango",Popsicle,Evening Snacks,1.0,Serving,120,0,0,0,30,0,29,0,0,10
01/09/2025,Flaky Biscuits (Organic),Biscuit,Breakfast,2.0,Each,340,0,12,6,54,5,10,2,0,1140
01/09/2025,Sour Cherry Spread,Jam,Breakfast,12.0,Grams,36,0,0,0,9,0,7.80,0,0,6
01/09/2025,Calories,Calories,Lunch,38.0,Each,380,0,0,0,0,0,0,0,0,0
01/09/2025,Mini snickerdoodle,Cookie,Lunch,1.0,Serving,35,0,2,0,5,1,1,2,3,24
01/09/2025,"Mango, Dried",Mango,Afternoon Snacks,1.0,Pouch,90,0,0,1,21,0,15,1,0,0
01/09/2025,Mini snickerdoodle,Cookie,Afternoon Snacks,1.0,Serving,35,0,2,0,5,1,1,2,3,24
01/09/2025,Chicken Dumpling,Dumpling,Dinner,11.0,Servings,314,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
01/09/2025,Organic High-Oleic Sunflower Oil,Oil,Dinner,0.5,Tablespoon,60,0,7,n/a,n/a,0.75,n/a,n/a,n/a,n/a
01/09/2025,Sweet Chili Mango Salad,Salad,Dinner,150.0,Grams,195,0,9,4.50,27,0.75,13.50,4.50,n/a,360
01/09/2025,Diet Lemon Moscow Mule,Recipe,Evening Snacks,1.0,Serving,172,1,n/a,n/a,9.93,n/a,9.46,n/a,n/a,15
01/09/2025,Diet Lemon Moscow Mule,Recipe,Evening Snacks,1.0,Serving,172,0,n/a,n/a,9.93,n/a,9.46,n/a,n/a,15
01/09/2025,Honey Wheat Pretzel Sticks,Pretzel,Evening Snacks,1.0,Piece,11,0,0.10,0.20,2.30,0,0.40,0.10,0,30
01/09/2025,Pineapple,Pineapple,Evening Snacks,1.0,Serving,120,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
01/09/2025,Peppermint Bark Chocolate Squares,Chocolate,Evening Snacks,12.6,Grams,70,0,4.72,1.5,7.35,2.62,6.30,0,0,5.25
01/09/2025,+ White Cheddar Rice Cakes,RiceCake,Evening Snacks,1.0,Piece,45,0,1,1,8,0,n/a,0,0,105
01/10/2025,Sourdough Bread,Toast,Breakfast,102.0,Grams,252,0,0,8.99,53.97,0,0,1.80,0,503.71
01/10/2025,"Eggs, Large",Egg,Breakfast,0.5,Each,35,0,2.25,3,0.50,0.75,0,0,107.50,32.50
01/10/2025,Organic High-Oleic Sunflower Oil,Oil,Breakfast,0.5,Tablespoon,60,0,7,n/a,n/a,0.75,n/a,n/a,n/a,n/a
01/10/2025,",*Cheese & Peanut Butter Sandwich Crackers",Cracker,Morning Snacks,0.3333,Package,63,0,3,1.33,8,0.50,1.33,0.33,0,109.99
01/10/2025,"Bread, Sourdough Sliced",WhiteBread,Lunch,64.0,Grams,160,0,0,6,32,0,0,2,0,320
01/10/2025,Chicken Breast,Chicken,Lunch,7.0,Ounces,213,0,3.54,42.52,3.54,0,3.54,n/a,107.73,1204.85
01/10/2025,"Bacon, Uncured, Applewood, Smoked",Bacon,Lunch,1.0,Slice,80,0,7,3,0,2.50,0,0,20,190
01/10/2025,",*Cheese & Peanut Butter Sandwich Crackers",Cracker,Afternoon Snacks,0.6666,Package,127,0,6,2.67,16,1,2.67,0.67,0,219.98
01/10/2025,BBQ Terriyaki Chicken,Chicken,Dinner,1.0,Dry Cup,240,0,9,31,11,2,10,1,135,710
01/10/2025,Trader Joe’s Jasmine Rice,Rice,Dinner,0.25,Cup,160,0,0,3,35,0,0,0,n/a,0
01/10/2025,"Banana, Ex Small, 6"" or Shorter",Banana,Afternoon Snacks,1.0,Each,72,0,0.27,0.88,18.50,0.9,9.91,2.11,0,0.81
01/10/2025,"Snack, Beef, Stick",Beef,Afternoon Snacks,14.0,Grams,40,0,3,4,n/a,1,n/a,n/a,12,165
01/10/2025,Organic High-Oleic Sunflower Oil,Oil,Dinner,0.25,Tablespoon,30,0,3.50,n/a,n/a,0.38,n/a,n/a,n/a,n/a
